date,platform,account_id,geo,currency,fx_to_usd,campaign_id,adset_id,ad_id,creative_id,audience_id,vertical,objective,funnel_stage,device,placement,bid_strategy,daily_budget,spend,spend_usd,impressions,clicks,ctr,cpm,cpc,conversions_total,leads,purchases,add_to_cart,initiate_checkout,revenue,revenue_usd,roas,video_views,video_2s_views,video_6s_views,engagements,installs,emq_score,pixel_health_score,signal_strength_score,creative_fatigue_score,budget_pacing_ratio,learning_phase,roas_alert,emq_degraded_flag,anomaly_flag,auto_resolve_applied,conv_1d_click,conv_7d_click,conv_1d_view,label_next_7d_roas,label_next_7d_conversions,predicted_ctr,predicted_cvr,predicted_roas,search_impr_share,quality_score,avg_position_est
2025-11-01,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,53.12,57.3,15.28,10134,158,0.01569,5.9,0.36,4,4,1,1,1,115.38,30.77,2.014,0,0,0,61,0,68.2,76.1,72,7,1.079,Learning,0,0,0,0,2,2,0,3.138,6,0.01404,0.03647,2.095,,,
2025-11-02,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,52.28,47.04,12.54,8151,130,0.01471,6.07,0.36,3,3,1,2,1,144.42,38.51,3.07,0,0,0,38,0,63.8,76.1,68,1,0.9,Learning,0,0,0,0,1,1,0,3.11,2,0.01483,0.02174,3.695,,,
2025-11-03,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,49.15,40.94,10.92,6557,91,0.01287,5.76,0.45,1,1,0,0,0,0.0,0.0,0.0,0,0,0,29,0,65.3,76.1,70,6,0.833,Learning,0,0,0,0,0,0,0,3.322,0,0.01306,0.01941,0.0,,,
2025-11-04,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,61.66,58.43,15.58,9910,147,0.01336,5.75,0.4,4,4,1,1,1,116.74,31.13,1.998,0,0,0,27,0,72.9,76.1,72,28,0.948,Learning,0,0,0,0,2,3,0,2.559,5,0.01587,0.02425,1.961,,,
2025-11-05,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,50.3,51.59,13.76,8453,97,0.01039,6.17,0.53,3,3,0,0,0,0.0,0.0,0.0,0,0,0,45,0,78.8,76.1,76,25,1.026,Learning,0,0,0,0,1,1,0,2.967,3,0.00962,0.02536,0.0,,,
2025-11-06,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,61.83,52.61,14.03,8495,114,0.015,5.97,0.46,3,3,0,0,0,0.0,0.0,0.0,0,0,0,46,0,61.2,76.1,61,30,0.851,Learning,1,0,0,0,1,2,0,1.952,4,0.01768,0.02775,0.083,,,
2025-11-07,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,53.12,55.12,14.7,10091,130,0.01217,5.93,0.42,2,2,0,0,0,0.0,0.0,0.0,0,0,0,44,0,79.6,76.1,62,18,1.037,Learning,0,0,0,0,1,1,0,2.921,2,0.01333,0.03201,0.0,,,
2025-11-08,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,51.24,51.19,13.65,8448,99,0.01097,5.76,0.52,4,4,0,0,0,0.0,0.0,0.0,0,0,0,34,0,74.5,76.1,76,17,0.999,Limited,0,0,0,0,2,3,0,2.006,2,0.01191,0.03349,0.417,,,
2025-11-09,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,52.08,55.12,14.7,8907,105,0.01127,5.87,0.52,2,2,0,0,0,0.0,0.0,0.0,0,0,0,49,0,79.9,76.1,77,22,1.058,Limited,0,0,0,0,0,1,0,2.425,2,0.0115,0.02645,0.037,,,
2025-11-10,Meta,act_5942859575,KSA,SAR,0.266667,C_B17GW4D8,AS_SK1A7MSD,AD_W6QKSNO5,CR_AFQFJZCZ,AU_YQOAA8T3,Retail,Leads,BOF,Desktop,Feed,Cost Cap,57.95,53.3,14.21,9240,124,0.01219,5.86,0.43,4,4,1,1,1,175.98,46.93,3.302,0,0,0,53,0,79.8,76.1,80,22,0.92,Limited,0,0,0,0,2,3,0,2.36,3,0.01056,0.02411,3.978,,,
