date,platform,account_id,geo,currency,fx_to_usd,campaign_id,adset_id,ad_id,creative_id,audience_id,vertical,objective,funnel_stage,device,placement,bid_strategy,daily_budget,spend,spend_usd,impressions,clicks,ctr,cpm,cpc,conversions_total,leads,purchases,add_to_cart,initiate_checkout,revenue,revenue_usd,roas,video_views,video_2s_views,video_6s_views,engagements,installs,emq_score,pixel_health_score,signal_strength_score,creative_fatigue_score,budget_pacing_ratio,learning_phase,roas_alert,emq_degraded_flag,anomaly_flag,auto_resolve_applied,conv_1d_click,conv_7d_click,conv_1d_view,label_next_7d_roas,label_next_7d_conversions,predicted_ctr,predicted_cvr,predicted_roas,search_impr_share,quality_score,avg_position_est
2025-11-01,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,21.01,22.56,73.33,4114,65,0.01434,5.31,0.35,1,0,1,1,1,133.13,432.67,5.9,0,0,0,14,0,80.8,87.0,79,0,1.074,Learning,0,0,0,0,0,0,0,2.967,1,0.013,0.01793,6.441,,,
2025-11-02,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,28.37,25.72,83.59,4616,64,0.01292,5.36,0.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,23,0,71.1,87.0,75,7,0.907,Learning,0,0,0,0,0,0,0,3.999,0,0.01134,0.02023,0.0,,,
2025-11-03,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,22.59,20.47,66.52,4177,67,0.01607,5.35,0.31,3,0,3,8,4,376.84,1224.72,18.41,0,0,0,24,0,72.5,87.0,75,5,0.906,Learning,0,0,0,0,2,2,0,1.954,3,0.01475,0.0148,15.0,,,
2025-11-04,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,24.89,23.52,76.44,4605,69,0.01537,5.47,0.34,0,0,0,0,0,0.0,0.0,0.0,0,0,0,23,0,78.7,87.0,77,3,0.945,Learning,0,0,0,0,0,0,0,2.981,0,0.01422,0.009,0.0,,,
2025-11-05,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,27.62,25.03,81.34,4536,81,0.0162,5.48,0.31,2,0,2,4,3,270.59,879.41,10.811,0,0,0,38,0,65.8,87.0,62,7,0.906,Learning,0,1,0,0,0,1,0,2.81,1,0.01502,0.01476,9.115,,,
2025-11-06,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,21.28,19.13,62.17,3849,43,0.01198,5.25,0.44,0,0,0,0,0,0.0,0.0,0.0,0,0,0,14,0,64.5,87.0,64,1,0.899,Learning,0,0,0,0,0,0,0,2.857,0,0.01257,0.01833,0.202,,,
2025-11-07,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,20.15,22.32,72.54,4015,60,0.01492,5.24,0.37,0,0,0,0,0,0.0,0.0,0.0,0,0,0,26,0,81.4,87.0,74,7,1.108,Learning,0,0,0,0,0,0,0,3.342,0,0.01571,0.01462,0.0,,,
2025-11-08,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,27.37,31.17,101.3,5485,86,0.0154,5.36,0.36,1,0,1,2,1,100.67,327.18,3.23,0,0,0,30,0,79.0,87.0,84,5,1.139,Limited,0,0,0,0,0,0,0,2.7,0,0.01273,0.01733,3.531,,,
2025-11-09,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,24.23,22.6,73.46,3786,52,0.01503,5.49,0.43,1,0,1,2,1,185.87,604.08,8.223,0,0,0,16,0,84.1,87.0,70,6,0.933,Limited,0,0,0,0,0,0,0,2.83,0,0.01678,0.01659,7.11,,,
2025-11-10,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,25.46,21.88,71.11,3873,52,0.01432,5.45,0.42,0,0,0,0,0,0.0,0.0,0.0,0,0,0,25,0,67.6,87.0,76,2,0.859,Limited,0,0,0,0,0,0,0,2.404,0,0.01324,0.01937,0.014,,,
2025-11-11,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,24.35,22.42,72.87,4726,83,0.01581,5.21,0.27,1,0,1,2,1,88.88,288.88,3.965,0,0,0,35,0,67.0,87.0,69,14,0.921,Limited,0,0,0,0,0,0,0,2.29,1,0.01736,0.01234,4.512,,,
2025-11-12,Meta,act_5942859575,Kuwait,KWD,3.25,C_EIW1XF26,AS_IFU6FD6Y,AD_I5SKOEWQ,CR_S0J8HT9L,AU_82MUX4B0,Retail,Sales,TOF,Mobile,Feed,Lowest Cost,25.39,22.43,72.89,4616,71,0.01394,5.19,0.32,2,0,2,2,2,259.14,842.2,11.555,0,0,0,18,0,67.4,87.0,79,11,0.883,Limited,0,1,1,0,1,1,0,2.873,1,0.01408,0.01484,9.522,,,
