date,platform,account_id,geo,currency,fx_to_usd,campaign_id,adset_id,ad_id,creative_id,audience_id,vertical,objective,funnel_stage,device,placement,bid_strategy,daily_budget,spend,spend_usd,impressions,clicks,ctr,cpm,cpc,conversions_total,leads,purchases,add_to_cart,initiate_checkout,revenue,revenue_usd,roas,video_views,video_2s_views,video_6s_views,engagements,installs,emq_score,pixel_health_score,signal_strength_score,creative_fatigue_score,budget_pacing_ratio,learning_phase,roas_alert,emq_degraded_flag,anomaly_flag,auto_resolve_applied,conv_1d_click,conv_7d_click,conv_1d_view,label_next_7d_roas,label_next_7d_conversions,predicted_ctr,predicted_cvr,predicted_roas,search_impr_share,quality_score,avg_position_est
2025-11-01,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,24.32,26.02,7.15,4921,77,0.01515,5.08,0.34,4,0,4,4,5,465.43,127.87,17.885,0,0,0,27,0,78.0,87.0,85,1,1.07,Learning,0,0,0,0,1,2,0,3.404,4,0.01741,0.015,15.0,,,
2025-11-02,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,23.35,26.18,7.19,5057,64,0.01292,4.85,0.41,2,0,2,4,2,311.42,85.56,11.898,0,0,0,19,0,69.4,87.0,75,26,1.121,Learning,0,0,0,0,1,1,0,2.54,2,0.01334,0.01174,9.981,,,
2025-11-03,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,25.87,25.49,7.0,5555,83,0.01482,4.99,0.31,1,0,1,1,1,124.09,34.09,4.868,0,0,0,27,0,61.4,87.0,73,23,0.985,Learning,0,0,0,0,0,0,0,2.373,0,0.0168,0.01426,5.335,,,
2025-11-04,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,24.56,21.25,5.84,4649,72,0.01722,4.71,0.3,1,0,1,1,1,114.71,31.51,5.399,0,0,0,14,0,61.2,87.0,67,28,0.865,Learning,0,1,0,1,0,0,0,2.242,0,0.01561,0.00923,5.284,,,
2025-11-05,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,28.9,26.91,7.39,5997,101,0.01499,4.72,0.27,2,0,2,3,2,277.61,76.27,10.315,0,0,0,39,0,82.5,87.0,76,25,0.931,Learning,0,0,0,0,0,1,0,2.655,1,0.01518,0.01535,12.233,,,
2025-11-06,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,28.16,25.18,6.92,5277,68,0.01381,5.02,0.37,0,0,0,0,0,0.0,0.0,0.0,0,0,0,35,0,72.2,87.0,82,24,0.894,Learning,1,0,0,0,0,0,0,2.969,0,0.01176,0.01013,0.319,,,
2025-11-07,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,21.84,20.27,5.57,4283,53,0.01367,4.91,0.38,0,0,0,0,0,0.0,0.0,0.0,0,0,0,21,0,58.7,87.0,67,28,0.928,Learning,0,1,0,0,0,0,0,1.969,0,0.01288,0.01123,0.245,,,
2025-11-08,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,25.7,30.43,8.36,5774,85,0.01674,4.98,0.36,2,0,2,4,3,170.48,46.83,5.602,0,0,0,25,0,75.3,87.0,83,24,1.184,Limited,0,0,0,0,0,1,0,2.599,1,0.01459,0.01563,7.123,,,
2025-11-09,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,20.98,19.3,5.3,4296,59,0.01539,4.89,0.33,1,0,1,1,1,111.0,30.49,5.751,0,0,0,31,0,65.1,87.0,62,27,0.92,Limited,0,1,0,0,0,0,0,2.345,1,0.01848,0.01503,6.17,,,
2025-11-10,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,22.97,20.05,5.51,4311,69,0.01645,4.73,0.29,0,0,0,0,0,0.0,0.0,0.0,0,0,0,31,0,75.4,87.0,66,31,0.873,Limited,0,0,0,0,0,0,0,2.109,0,0.01514,0.01497,0.186,,,
2025-11-11,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,28.66,30.26,8.31,6537,84,0.01468,4.83,0.36,1,0,1,1,1,8.06,2.22,0.266,0,0,0,27,0,83.4,87.0,73,41,1.056,Limited,0,0,0,0,0,0,0,1.671,0,0.01579,0.01017,0.266,,,
2025-11-12,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,23.3,23.21,6.38,4896,71,0.01328,5.07,0.33,2,0,2,3,2,209.36,57.52,9.021,0,0,0,32,0,72.4,87.0,82,30,0.996,Limited,0,0,0,0,1,1,0,1.967,1,0.01281,0.01203,7.537,,,
2025-11-13,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,21.81,20.99,5.77,4439,54,0.01234,4.98,0.39,0,0,0,0,0,0.0,0.0,0.0,0,0,0,27,0,72.1,87.0,78,32,0.962,Limited,0,0,0,0,0,0,0,2.655,0,0.01476,0.0126,0.194,,,
2025-11-14,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,23.32,23.14,6.36,4706,61,0.01211,5.04,0.38,1,0,1,1,1,62.46,17.16,2.699,0,0,0,33,0,61.8,87.0,74,35,0.992,Limited,0,0,0,0,0,0,0,1.775,1,0.01215,0.01092,2.546,,,
2025-11-15,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,27.11,32.57,8.95,7274,104,0.01413,4.87,0.31,1,0,1,1,1,58.2,15.99,1.787,0,0,0,31,0,71.9,87.0,64,40,1.201,Limited,0,0,0,0,0,0,0,2.127,1,0.01274,0.01263,1.222,,,
2025-11-16,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,26.16,26.3,7.23,5326,65,0.01312,4.86,0.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,28,0,73.0,87.0,76,42,1.005,Limited,1,0,0,1,0,0,0,3.264,0,0.01208,0.01988,0.369,,,
2025-11-17,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,28.5,28.35,7.79,5298,62,0.01171,5.03,0.46,0,0,0,0,0,0.0,0.0,0.0,0,0,0,23,0,81.8,87.0,68,37,0.995,Limited,1,0,0,1,0,0,0,2.195,0,0.00966,0.01342,0.387,,,
2025-11-18,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,29.19,24.45,6.72,5395,64,0.01105,4.8,0.38,0,0,0,0,0,0.0,0.0,0.0,0,0,0,30,0,77.5,87.0,68,36,0.838,Limited,0,0,0,0,0,0,0,1.764,0,0.0104,0.01359,0.477,,,
2025-11-19,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,28.65,28.31,7.78,6114,68,0.01074,4.86,0.42,0,0,0,0,0,0.0,0.0,0.0,0,0,0,22,0,79.9,87.0,84,40,0.988,Limited,0,0,0,0,0,0,0,2.686,0,0.01215,0.01357,0.229,,,
2025-11-20,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,27.68,25.4,6.98,5625,74,0.01351,4.92,0.34,0,0,0,0,0,0.0,0.0,0.0,0,0,0,26,0,72.0,87.0,65,41,0.918,Limited,0,0,0,0,0,0,0,2.439,0,0.01332,0.00792,0.284,,,
2025-11-21,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,26.36,27.3,7.5,5504,66,0.01132,4.9,0.41,0,0,0,0,0,0.0,0.0,0.0,0,0,0,32,0,76.4,87.0,70,32,1.036,Limited,0,0,0,0,0,0,0,1.703,0,0.01088,0.01318,0.0,,,
2025-11-22,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,22.38,21.29,5.85,4342,47,0.0101,4.82,0.45,2,0,2,3,2,246.35,67.68,11.572,0,0,0,16,0,71.2,87.0,81,42,0.951,Limited,0,0,0,0,1,1,0,2.681,2,0.01185,0.01151,10.418,,,
2025-11-23,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,23.94,27.68,7.61,5943,64,0.01059,4.88,0.43,2,0,2,4,3,16.45,4.52,0.594,0,0,0,16,0,84.5,87.0,76,42,1.156,Limited,0,0,0,0,1,1,0,1.846,2,0.01172,0.01005,0.559,,,
2025-11-24,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,26.07,25.62,7.04,5471,60,0.01201,4.77,0.43,2,0,2,2,2,169.05,46.44,6.598,0,0,0,12,0,65.4,87.0,62,47,0.983,Limited,0,1,0,1,1,1,0,1.91,1,0.0114,0.00875,6.987,,,
2025-11-25,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,26.69,24.04,6.6,5226,68,0.01262,5.01,0.35,2,0,2,3,2,169.4,46.54,7.047,0,0,0,26,0,69.4,87.0,64,42,0.901,Limited,0,1,0,0,1,1,0,2.225,2,0.01575,0.01532,7.976,,,
2025-11-26,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,27.55,27.01,7.42,5590,69,0.01413,5.04,0.39,2,0,2,4,2,104.01,28.57,3.85,0,0,0,31,0,70.1,87.0,66,47,0.981,Limited,0,0,0,0,1,1,0,2.274,2,0.01456,0.01433,4.574,,,
2025-11-27,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,25.77,28.73,7.89,5713,78,0.0135,5.0,0.37,0,0,0,0,0,0.0,0.0,0.0,0,0,0,27,0,76.4,87.0,83,42,1.115,Limited,0,0,0,0,0,0,0,2.398,0,0.01198,0.00872,0.269,,,
2025-11-28,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,24.59,23.77,6.53,5195,55,0.01223,5.01,0.43,0,0,0,0,0,0.0,0.0,0.0,0,0,0,14,0,65.3,87.0,64,45,0.967,Limited,1,0,0,1,0,0,0,2.186,0,0.01303,0.01463,0.027,,,
2025-11-29,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,22.27,23.25,6.39,5143,87,0.01553,4.72,0.27,0,0,0,0,0,0.0,0.0,0.0,0,0,0,34,0,76.1,87.0,67,46,1.044,Limited,0,0,0,0,0,0,0,2.319,0,0.0144,0.01339,0.0,,,
2025-11-30,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,27.66,29.69,8.16,6466,72,0.01086,4.83,0.41,1,0,1,1,1,77.66,21.34,2.616,0,0,0,11,0,75.6,87.0,69,58,1.073,Limited,0,0,0,0,0,0,0,2.553,1,0.01101,0.0094,2.275,,,
2025-12-01,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,26.46,29.16,8.01,6198,71,0.01174,4.89,0.41,0,0,0,0,0,0.0,0.0,0.0,0,0,0,18,0,68.8,87.0,69,55,1.102,Limited,0,0,0,0,0,0,0,1.96,0,0.01043,0.01326,0.0,,,
2025-12-02,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,21.41,20.15,5.54,3914,38,0.01097,4.95,0.53,0,0,0,0,0,0.0,0.0,0.0,0,0,0,11,0,69.3,87.0,70,53,0.941,Limited,0,0,0,0,0,0,0,1.896,0,0.00897,0.01495,0.0,,,
2025-12-03,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,25.4,26.53,7.29,5862,70,0.01308,4.9,0.38,1,0,1,2,1,196.42,53.96,7.404,0,0,0,41,0,72.0,87.0,73,47,1.044,Limited,0,0,0,0,0,0,0,1.948,1,0.01279,0.01205,9.138,,,
2025-12-04,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,28.18,28.84,7.92,6039,80,0.01197,5.02,0.36,2,0,2,3,2,243.34,66.85,8.437,0,0,0,44,0,81.3,87.0,83,52,1.024,Limited,0,0,0,0,0,1,0,2.976,1,0.01056,0.01117,10.04,,,
2025-12-05,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,27.78,29.05,7.98,5901,59,0.01112,4.76,0.49,2,0,2,3,2,125.58,34.5,4.322,0,0,0,22,0,64.9,87.0,72,51,1.046,Limited,0,0,0,0,0,1,0,1.877,2,0.01238,0.00903,3.427,,,
2025-12-06,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,22.31,26.27,7.22,5026,71,0.01314,5.01,0.37,1,0,1,1,1,143.66,39.47,5.469,0,0,0,29,0,78.3,87.0,73,53,1.178,Limited,0,0,0,0,0,0,0,2.641,1,0.01059,0.01051,5.507,,,
2025-12-07,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,24.83,26.92,7.4,5642,64,0.01241,5.06,0.42,0,0,0,0,0,0.0,0.0,0.0,0,0,0,28,0,80.9,87.0,74,60,1.084,Limited,0,0,0,0,0,0,0,2.505,0,0.01218,0.01023,0.0,,,
2025-12-08,Meta,act_5942859575,Qatar,QAR,0.274725,C_EIW1XF26,AS_APJ2GEJR,AD_275PKACD,CR_JC616I76,AU_CQURTAEB,Retail,Sales,TOF,Mobile,Feed,Bid Cap,27.84,28.95,7.95,6373,63,0.00964,4.81,0.46,0,0,0,0,0,0.0,0.0,0.0,0,0,0,18,0,72.2,87.0,80,55,1.04,Limited,0,0,0,0,0,0,0,2.146,0,0.01198,0.01408,0.0,,,
