campaign_id,date,day_of_week,platform,objective,daily_budget,bid_strategy,audience_size,geo_regions,age_range_width,interests_count,lookalike_used,retargeting,creative_count,video_creative,creative_age_days,spend,impressions,clicks,ctr,cpc,conversions,cvr,revenue,roas,cpa,cpm,landing_page_score,relevance_score
CAMP_00001,2025-12-20,5,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,446.8,21387,410,1.9176,1.09,25.86,6.3065,1170.94,2.6207,17.27,20.89,5.29,9.2
CAMP_00001,2025-12-21,6,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,403.98,25295,212,0.8401,1.9,6.87,3.2343,745.51,1.8454,58.78,15.97,8.33,7.25
CAMP_00001,2025-12-22,0,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,475.23,54566,1058,1.9404,0.45,45.14,4.2631,6678.31,14.0529,10.53,8.71,6.97,6.45
CAMP_00001,2025-12-23,1,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,498.35,32974,364,1.1066,1.37,6.69,1.8331,132.05,0.265,74.5,15.11,5.24,4.98
CAMP_00001,2025-12-24,2,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,467.57,28612,299,1.0483,1.56,23.02,7.6743,1747.47,3.7373,20.31,16.34,5.21,6.65
CAMP_00001,2025-12-25,3,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,367.02,17285,330,1.9117,1.11,13.83,4.1856,1581.81,4.3098,26.54,21.23,8.23,6.49
CAMP_00001,2025-12-26,4,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,352.62,17597,195,1.1128,1.8,7.31,3.7352,239.69,0.6797,48.21,20.04,9.32,6.69
CAMP_00001,2025-12-27,5,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,434.66,40404,916,2.2674,0.47,80.8,8.82,7511.01,17.2802,5.38,10.76,7.73,5.26
CAMP_00001,2025-12-28,6,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,466.61,44505,471,1.0599,0.99,21.56,4.5705,3642.16,7.8056,21.64,10.48,8.8,5.86
CAMP_00001,2025-12-29,0,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,451.36,57543,700,1.2179,0.64,46.93,6.6957,2775.33,6.1488,9.62,7.84,5.79,6.33
CAMP_00001,2025-12-30,1,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,473.47,62494,612,0.9794,0.77,39.64,6.4761,2623.11,5.5402,11.94,7.58,5.27,9.76
CAMP_00001,2025-12-31,2,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,477.0,31215,442,1.4188,1.08,18.56,4.1917,2250.54,4.7181,25.69,15.28,9.14,5.59
CAMP_00001,2026-01-01,3,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,413.03,33226,309,0.9328,1.33,17.41,5.6169,1568.49,3.7975,23.73,12.43,8.36,4.18
CAMP_00001,2026-01-02,4,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,363.97,17174,252,1.4709,1.44,8.21,3.2508,105.41,0.2896,44.32,21.19,9.31,4.25
CAMP_00001,2026-01-03,5,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,547.39,45611,826,1.8127,0.66,23.6,2.855,3113.81,5.6884,23.19,12.0,6.24,6.75
CAMP_00001,2026-01-04,6,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,399.41,37971,508,1.3399,0.79,19.52,3.8365,3618.47,9.0595,20.46,10.52,9.04,9.51
CAMP_00001,2026-01-05,0,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,404.77,29550,441,1.4929,0.92,8.02,1.8188,112.05,0.2768,50.44,13.7,6.54,6.25
CAMP_00001,2026-01-06,1,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,488.61,51576,1114,2.1604,0.44,21.08,1.8921,302.79,0.6197,23.18,9.47,6.28,7.38
CAMP_00001,2026-01-07,2,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,395.13,39944,472,1.1817,0.84,32.49,6.8821,362.36,0.9171,12.16,9.89,6.9,4.06
CAMP_00001,2026-01-08,3,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,473.67,48277,1052,2.1792,0.45,57.4,5.4562,3687.73,7.7854,8.25,9.81,6.52,6.05
CAMP_00001,2026-01-09,4,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,355.06,24928,529,2.123,0.67,24.87,4.6998,435.28,1.2259,14.28,14.24,7.71,5.37
CAMP_00001,2026-01-10,5,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,476.4,36913,253,0.6866,1.88,14.4,5.6803,786.07,1.65,33.09,12.91,6.28,7.26
CAMP_00001,2026-01-11,6,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,447.55,29125,487,1.6721,0.92,24.5,5.0298,292.17,0.6528,18.27,15.37,6.57,5.77
CAMP_00001,2026-01-12,0,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,382.8,50024,558,1.1168,0.69,14.81,2.6513,406.39,1.0616,25.84,7.65,8.5,8.63
CAMP_00001,2026-01-13,1,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,373.14,40891,512,1.2528,0.73,35.84,6.9968,1195.28,3.2033,10.41,9.13,8.79,7.35
CAMP_00001,2026-01-14,2,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,431.88,22071,404,1.8346,1.07,16.26,4.0151,784.34,1.8161,26.56,19.57,6.07,9.6
CAMP_00001,2026-01-15,3,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,388.91,49704,818,1.6477,0.47,17.49,2.1354,278.44,0.716,22.24,7.82,9.04,4.57
CAMP_00001,2026-01-16,4,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,394.44,20924,257,1.2305,1.53,20.45,7.9431,311.08,0.7887,19.29,18.85,5.52,4.35
CAMP_00001,2026-01-17,5,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,538.03,27224,449,1.6523,1.2,40.2,8.9364,1109.22,2.0616,13.38,19.76,9.3,6.6
CAMP_00001,2026-01-18,6,meta,conversions,500,lowest_cost,120271,3,10,14,1,0,1,0,56,415.62,32554,682,2.0974,0.61,19.63,2.8748,746.78,1.7968,21.17,12.77,6.61,8.3
CAMP_00002,2025-12-20,5,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,201.31,23607,295,1.2503,0.68,16.41,5.5611,3422.04,16.9992,12.26,8.53,8.58,5.04
CAMP_00002,2025-12-21,6,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,245.52,32832,399,1.2171,0.61,32.82,8.2128,541.38,2.205,7.48,7.48,6.22,7.43
CAMP_00002,2025-12-22,0,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,190.17,20561,353,1.7192,0.54,18.02,5.0979,1774.95,9.3337,10.55,9.25,8.57,7.97
CAMP_00002,2025-12-23,1,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,217.67,53416,939,1.7589,0.23,110.17,11.7262,8810.19,40.4749,1.98,4.07,5.94,7.71
CAMP_00002,2025-12-24,2,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,198.31,20882,200,0.962,0.99,7.29,3.6308,434.22,2.1896,27.19,9.5,9.3,4.99
CAMP_00002,2025-12-25,3,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,243.93,29661,464,1.5653,0.53,14.08,3.0325,1116.48,4.577,17.32,8.22,6.2,7.27
CAMP_00002,2025-12-26,4,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,178.61,21006,342,1.6301,0.52,35.27,10.3012,1834.47,10.2706,5.06,8.5,9.16,5.48
CAMP_00002,2025-12-27,5,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,233.81,33544,402,1.2011,0.58,12.66,3.141,447.7,1.9149,18.48,6.97,8.9,8.89
CAMP_00002,2025-12-28,6,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,235.56,27277,236,0.8686,0.99,21.13,8.9193,1436.05,6.0964,11.15,8.64,6.06,5.9
CAMP_00002,2025-12-29,0,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,201.66,33309,607,1.8237,0.33,70.17,11.552,4019.44,19.9321,2.87,6.05,5.45,8.71
CAMP_00002,2025-12-30,1,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,195.64,23851,328,1.3784,0.6,33.07,10.0585,2870.31,14.6712,5.92,8.2,9.99,9.0
CAMP_00002,2025-12-31,2,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,194.28,22793,327,1.4356,0.59,32.88,10.0484,1237.78,6.3712,5.91,8.52,6.93,8.46
CAMP_00002,2026-01-01,3,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,178.45,28480,236,0.8289,0.76,19.86,8.4133,702.56,3.9369,8.98,6.27,7.09,4.79
CAMP_00002,2026-01-02,4,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,221.53,30494,277,0.9095,0.8,24.11,8.6918,1520.22,6.8624,9.19,7.26,6.87,6.22
CAMP_00002,2026-01-03,5,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,209.22,41094,287,0.6998,0.73,28.18,9.8005,2680.06,12.8101,7.42,5.09,7.95,6.53
CAMP_00002,2026-01-04,6,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,246.64,23545,442,1.8781,0.56,11.39,2.5762,948.27,3.8447,21.65,10.48,7.74,8.31
CAMP_00002,2026-01-05,0,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,223.57,30830,382,1.2408,0.58,43.45,11.3591,5577.62,24.9484,5.14,7.25,8.59,5.34
CAMP_00002,2026-01-06,1,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,212.48,39038,332,0.8517,0.64,8.53,2.5661,364.74,1.7166,24.9,5.44,5.76,6.88
CAMP_00002,2026-01-07,2,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,186.48,39380,747,1.8991,0.25,85.63,11.4495,2912.86,15.6203,2.18,4.74,6.67,7.87
CAMP_00002,2026-01-08,3,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,190.08,31844,288,0.907,0.66,7.3,2.5267,1059.25,5.5728,26.05,5.97,8.26,7.03
CAMP_00002,2026-01-09,4,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,241.44,26023,284,1.0916,0.85,19.22,6.7676,895.21,3.7078,12.56,9.28,7.21,9.63
CAMP_00002,2026-01-10,5,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,242.52,29100,268,0.9224,0.9,32.43,12.082,9218.06,38.0088,7.48,8.33,10.0,8.51
CAMP_00002,2026-01-11,6,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,251.85,31591,465,1.4734,0.54,28.66,6.1578,272.83,1.0833,8.79,7.97,7.56,4.68
CAMP_00002,2026-01-12,0,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,192.16,38641,678,1.7564,0.28,63.85,9.4082,8328.05,43.3391,3.01,4.97,8.62,6.89
CAMP_00002,2026-01-13,1,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,191.1,18830,311,1.6568,0.61,35.7,11.4427,1149.81,6.0168,5.35,10.15,5.46,7.37
CAMP_00002,2026-01-14,2,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,237.77,22461,252,1.1239,0.94,11.69,4.6304,351.27,1.4773,20.34,10.59,9.88,9.57
CAMP_00002,2026-01-15,3,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,229.92,29922,273,0.9138,0.84,27.58,10.0864,654.11,2.8449,8.34,7.68,6.94,6.37
CAMP_00002,2026-01-16,4,tiktok,app_installs,250,cost_cap,751845,6,30,0,0,0,7,1,48,225.42,31686,528,1.6687,0.43,9.76,1.8459,668.43,2.9653,23.1,7.11,6.49,4.28
