date,source,day_of_week,is_weekend,emq_score,event_volume,event_loss_rate,data_freshness_min,api_success_rate,api_latency_ms,api_errors_count,match_rate,has_incident,incident_severity,health_score,health_status
2025-01-18,meta_capi,5,1,7.94,30183,0.0206,30.17,0.9754,123.13,3,0.8659,0,0,86.13,healthy
2025-01-18,google_analytics,5,1,7.21,70693,0.0257,5.16,0.9853,15.02,5,0.8038,0,0,82.27,healthy
2025-01-18,segment,5,1,9.06,18232,0.0207,44.61,0.9531,165.23,4,0.8242,0,0,90.5,healthy
2025-01-18,shopify,5,1,8.41,12945,0.0273,11.87,0.989,349.28,6,0.789,0,0,88.17,healthy
2025-01-18,stripe,5,1,9.0,3179,0.0376,6.62,0.9934,78.24,4,0.7708,0,0,90.48,healthy
2025-01-19,meta_capi,6,1,9.02,38797,0.0208,6.66,0.9794,198.85,3,0.8966,0,0,91.67,healthy
2025-01-19,google_analytics,6,1,7.91,80841,0.0264,1.91,0.9838,143.04,5,0.9178,0,0,85.58,healthy
2025-01-19,segment,6,1,9.04,19440,0.0271,35.72,0.9686,52.83,3,0.835,0,0,90.64,healthy
2025-01-19,shopify,6,1,8.46,15700,0.0221,33.46,0.9861,164.73,4,0.8664,0,0,88.99,healthy
2025-01-19,stripe,6,1,8.17,3110,0.0213,6.18,0.9807,39.04,7,0.8673,0,0,87.07,healthy
2025-01-20,meta_capi,0,0,8.55,50053,0.0205,4.9,0.9681,27.39,6,0.8284,0,0,88.51,healthy
2025-01-20,google_analytics,0,0,8.2,105341,0.0277,1.42,0.981,38.68,2,0.7799,0,0,87.09,healthy
2025-01-20,segment,0,0,9.0,26717,0.0304,2.87,0.9641,48.9,3,0.8317,0,0,89.89,healthy
2025-01-20,shopify,0,0,7.82,21279,0.037,12.15,0.9862,27.69,5,0.8778,0,0,84.22,healthy
2025-01-20,stripe,0,0,9.81,4168,0.0218,34.32,0.9903,0.92,2,0.9109,0,0,96.18,healthy
2025-01-21,meta_capi,1,0,9.43,53039,0.0225,18.68,0.9786,39.36,6,0.8737,0,0,93.24,healthy
2025-01-21,google_analytics,1,0,7.94,105245,0.0358,10.48,0.9857,67.83,3,0.838,0,0,85.1,healthy
2025-01-21,segment,1,0,8.94,35599,0.0531,28.76,0.9683,48.63,7,0.887,0,0,87.09,healthy
2025-01-21,shopify,1,0,8.53,21926,0.0319,18.18,0.9878,34.76,12,0.8526,0,0,87.64,healthy
2025-01-21,stripe,1,0,9.26,4931,0.0278,5.06,0.9905,3.1,3,0.8541,0,0,92.73,healthy
2025-01-22,meta_capi,2,0,8.14,52457,0.0209,0.8,0.9762,77.79,8,0.884,0,0,86.63,healthy
2025-01-22,google_analytics,2,0,3.25,38543,0.1719,182.55,0.6886,1579.68,158,0.5933,1,3,5.44,critical
2025-01-22,segment,2,0,8.88,25174,0.0268,9.62,0.969,56.89,4,0.9436,0,0,89.78,healthy
2025-01-22,shopify,2,0,8.58,21269,0.0218,1.1,0.9849,2.69,10,0.8505,0,0,88.97,healthy
2025-01-22,stripe,2,0,9.26,4637,0.0386,0.35,0.9866,33.11,7,0.8604,0,0,91.05,healthy
2025-01-23,meta_capi,3,0,7.61,55528,0.0242,40.05,0.9702,56.04,7,0.789,0,0,83.43,healthy
2025-01-23,google_analytics,3,0,7.36,118002,0.0501,12.78,0.985,59.5,6,0.8193,0,0,80.46,healthy
2025-01-23,segment,3,0,9.04,29298,0.0419,6.48,0.9694,15.43,3,0.8161,0,0,89.17,healthy
2025-01-23,shopify,3,0,7.76,16678,0.0632,7.03,0.9877,167.56,7,0.8616,0,0,81.19,healthy
2025-01-23,stripe,3,0,9.49,4022,0.0263,0.87,0.9944,12.5,7,0.7999,0,0,93.84,healthy
2025-01-24,meta_capi,4,0,8.61,41475,0.0281,52.25,0.9763,99.26,5,0.8506,0,0,88.57,healthy
2025-01-24,google_analytics,4,0,8.59,91095,0.0221,9.35,0.9878,87.62,7,0.8096,0,0,89.46,healthy
2025-01-24,segment,4,0,8.34,35192,0.0401,0.69,0.9699,47.23,9,0.9416,0,0,85.28,healthy
2025-01-24,shopify,4,0,8.0,22151,0.049,28.42,0.9886,59.88,6,0.8523,0,0,83.95,healthy
2025-01-24,stripe,4,0,9.62,5544,0.0273,28.68,0.991,82.31,3,0.9524,0,0,94.62,healthy
2025-01-25,meta_capi,5,1,9.24,30981,0.0215,0.22,0.9778,89.14,7,0.8939,0,0,92.27,healthy
2025-01-25,google_analytics,5,1,7.49,63230,0.0261,58.7,0.9866,39.86,3,0.8898,0,0,83.88,healthy
2025-01-25,segment,5,1,8.45,19703,0.0427,9.64,0.9645,18.91,2,0.8744,0,0,86.0,healthy
2025-01-25,shopify,5,1,7.95,12355,0.0245,10.5,0.9841,4.01,5,0.7982,0,0,85.99,healthy
2025-01-25,stripe,5,1,9.81,3058,0.0223,6.94,0.9917,96.3,3,0.8879,0,0,96.08,healthy
2025-01-26,meta_capi,6,1,8.79,35163,0.0276,1.7,0.977,76.06,3,0.8656,0,0,89.73,healthy
2025-01-26,google_analytics,6,1,7.18,59353,0.0421,13.51,0.9843,155.67,5,0.7959,0,0,80.39,healthy
2025-01-26,segment,6,1,8.56,22225,0.0285,6.6,0.9485,93.08,2,0.7809,0,0,87.19,healthy
2025-01-26,shopify,6,1,7.81,12796,0.0219,34.06,0.9896,74.34,7,0.8293,0,0,85.63,healthy
2025-01-26,stripe,6,1,9.76,3579,0.0285,4.93,0.9877,20.71,4,0.8604,0,0,94.96,healthy
2025-01-27,meta_capi,0,0,8.82,43087,0.0266,11.41,0.9797,41.04,3,0.7669,0,0,90.13,healthy
2025-01-27,google_analytics,0,0,7.92,110409,0.0291,9.57,0.9873,42.9,7,0.7935,0,0,85.35,healthy
2025-01-27,segment,0,0,9.58,25677,0.0359,3.38,0.9691,17.94,8,0.8627,0,0,91.99,healthy
2025-01-27,shopify,0,0,8.53,20021,0.0226,34.48,0.9876,78.43,6,0.8078,0,0,89.14,healthy
2025-01-27,stripe,0,0,9.82,5787,0.0355,2.47,0.9931,28.57,5,0.9635,0,0,94.68,healthy
2025-01-28,meta_capi,1,0,8.37,55945,0.0216,3.91,0.9736,127.31,5,0.8011,0,0,87.84,healthy
2025-01-28,google_analytics,1,0,6.61,98480,0.0494,2.5,0.9856,70.5,4,0.9248,0,0,76.99,healthy
2025-01-28,segment,1,0,9.11,25830,0.0286,14.0,0.9672,133.35,6,0.8721,0,0,90.45,healthy
2025-01-28,shopify,1,0,8.03,20730,0.0251,0.84,0.988,162.38,0,0.9047,0,0,87.03,healthy
2025-01-28,stripe,1,0,9.93,5839,0.0243,6.39,0.9883,60.19,3,0.734,0,0,96.32,healthy
2025-01-29,meta_capi,2,0,8.9,47247,0.0287,15.01,0.9799,108.93,4,0.8421,0,0,90.24,healthy
2025-01-29,google_analytics,2,0,8.79,82683,0.0339,3.53,0.9786,22.96,2,0.853,0,0,89.28,healthy
2025-01-29,segment,2,0,9.69,29289,0.0251,12.3,0.9692,20.08,6,0.717,0,0,93.82,healthy
2025-01-29,shopify,2,0,8.47,16216,0.0225,3.94,0.9844,1.99,4,0.9136,0,0,88.91,healthy
2025-01-29,stripe,2,0,9.91,5711,0.0377,7.59,0.9895,22.94,2,0.803,0,0,95.04,healthy
2025-01-30,meta_capi,3,0,8.66,48428,0.0423,25.51,0.9779,30.03,6,0.7874,0,0,87.38,healthy
2025-01-30,google_analytics,3,0,7.99,111994,0.0255,0.34,0.9884,78.01,6,0.8485,0,0,86.2,healthy
2025-01-30,segment,3,0,9.1,27288,0.0281,15.81,0.9611,23.12,1,0.8011,0,0,90.64,healthy
2025-01-30,shopify,3,0,8.13,20804,0.0309,2.89,0.9777,54.26,3,0.8991,0,0,86.13,healthy
2025-01-30,stripe,3,0,9.59,4490,0.0249,5.11,0.9928,126.96,7,0.8122,0,0,94.41,healthy
2025-01-31,meta_capi,4,0,8.21,49927,0.0291,6.1,0.9726,11.27,5,0.8561,0,0,86.28,healthy
2025-01-31,google_analytics,4,0,7.82,90885,0.0289,6.72,0.9895,249.27,4,0.8986,0,0,85.26,healthy
2025-01-31,segment,4,0,9.41,31905,0.0318,28.38,0.9686,67.22,4,0.8809,0,0,91.89,healthy
