audience_id,audience_type,age_band,gender,geo,competitiveness_latent
AU_ECBPMBJP,Interest,45-54,Female,KSA,0.205
AU_N3QXKHKT,Broad,55+,All,Qatar,0.545
AU_YZMEPGTH,CRM,18-24,Male,Jordan,0.561
AU_1XE6VA05,Broad,45-54,Male,Egypt,0.95
AU_3J1L7R84,Retargeting,45-54,Female,Jordan,0.515
AU_RUPFR2P3,CRM,55+,Female,Kuwait,0.604
AU_VB5UL5NW,Lookalike,35-44,Male,Jordan,0.544
AU_R9A7MFP0,Retargeting,55+,All,Egypt,0.34
AU_452BFSOZ,Interest,35-44,Female,Jordan,0.756
AU_X497W19V,Lookalike,45-54,Male,Qatar,0.685
AU_QOHMUH8L,Interest,25-34,Female,Kuwait,0.692
AU_R7SGMSOX,Interest,35-44,All,Egypt,0.386
AU_8IRCD9SI,Retargeting,18-24,All,Jordan,0.803
AU_S442VLDQ,Retargeting,18-24,All,Kuwait,0.298
AU_5EDJJTFP,Broad,55+,Male,Jordan,0.656
AU_O7Y22T1T,CRM,55+,All,Jordan,0.944
AU_GNNQFKPL,CRM,18-24,All,KSA,0.372
AU_024SCOSS,Retargeting,18-24,Female,UAE,0.448
AU_QM1H8OJR,Interest,18-24,All,UAE,0.568
AU_TS2H3TZR,CRM,55+,Male,Kuwait,0.459
AU_FC1UQBFO,CRM,55+,All,Egypt,0.271
AU_RCL472RL,CRM,45-54,Female,Kuwait,0.562
AU_F4W0VUGK,Lookalike,45-54,Female,Kuwait,0.359
AU_SZ9C3FUQ,Lookalike,18-24,Male,Jordan,0.635
AU_A830DM7X,CRM,45-54,Female,Kuwait,0.385
AU_DNR9IS25,Broad,18-24,Female,Jordan,0.829
AU_PKT9A90F,Interest,18-24,Male,KSA,0.409
AU_J5S6R044,Interest,45-54,Female,UAE,0.492
AU_YM6IER0V,CRM,35-44,All,Qatar,0.696
AU_T5J284WV,CRM,55+,Male,Kuwait,0.328
AU_UMPYO0CU,Retargeting,45-54,Male,Egypt,0.591
AU_J5CI6VG2,Broad,55+,Male,KSA,0.785
AU_J0JE4QVZ,Broad,35-44,Female,Jordan,0.261
AU_YU58CEPS,Interest,18-24,Male,KSA,0.583
AU_G2KTBCUD,Lookalike,35-44,Male,Kuwait,0.597
AU_JP70LKLF,CRM,45-54,Female,Egypt,0.691
AU_P5JO3Q3Q,Broad,45-54,Male,Egypt,0.327
AU_8KE2WT1Q,Retargeting,35-44,All,Kuwait,0.312
AU_4GPYWSSB,Retargeting,35-44,All,Jordan,0.644
AU_D5SOWOMQ,Interest,18-24,Female,Egypt,0.603
