platform,campaign_id,adset_id,ad_id,ad_name,creative_id,ad_quality_latent
Meta,C_CT2CXIFS,AS_8X76RKQ4,AD_Z9XFZAQ8,How-to | Collection | 1,CR_N1U322N6,0.605
Meta,C_CT2CXIFS,AS_8X76RKQ4,AD_H3XQYXGO,Product Demo | Collection | 2,CR_M3WTOOBM,0.622
Meta,C_CT2CXIFS,AS_4B9UOE3T,AD_5HGP8IY3,Product Demo | Image | 1,CR_9IM0YLTZ,0.687
Meta,C_CT2CXIFS,AS_4B9UOE3T,AD_X80J0G50,Lifestyle | Image | 2,CR_T6MJXK87,0.587
Meta,C_CT2CXIFS,AS_4B9UOE3T,AD_RCXN22PX,Product Demo | Image | 3,CR_9IM0YLTZ,0.704
Meta,C_GX8WDZRM,AS_BDVPINE9,AD_ARJI8QLH,UGC | Image | 1,CR_PK3YR9OU,0.588
Meta,C_GX8WDZRM,AS_BDVPINE9,AD_BIAWPUBL,How-to | Collection | 2,CR_VUHT6T0U,0.544
Meta,C_GX8WDZRM,AS_BDVPINE9,AD_QDI07HE4,Offer | Video | 3,CR_8DUDD467,0.573
Meta,C_GX8WDZRM,AS_BDVPINE9,AD_2X6G26OC,UGC | Image | 4,CR_PE29GD8A,0.52
Meta,C_GX8WDZRM,AS_7T3BD4Z1,AD_JEIR9UY7,Lifestyle | Video | 1,CR_HS1K3AQ6,0.602
Meta,C_GX8WDZRM,AS_7T3BD4Z1,AD_S361GH9N,Lifestyle | Collection | 2,CR_H3I379U2,0.505
Meta,C_GX8WDZRM,AS_7T3BD4Z1,AD_12O0V3Z0,How-to | Carousel | 3,CR_DOECVE6P,0.616
Meta,C_GX8WDZRM,AS_GU1UQXJ4,AD_XI9D99VH,Offer | Video | 1,CR_3S195JMS,0.521
Meta,C_GX8WDZRM,AS_GU1UQXJ4,AD_0W1DSTWG,UGC | Collection | 2,CR_07UQNUPQ,0.481
Meta,C_GX8WDZRM,AS_GU1UQXJ4,AD_6NJ4OGW9,Product Demo | Image | 3,CR_ERW6Z8VB,0.364
Meta,C_GX8WDZRM,AS_GU1UQXJ4,AD_XHRO199B,Product Demo | Image | 4,CR_YR0QF4B8,0.594
Meta,C_GX8WDZRM,AS_RBLRTVWA,AD_BF7NY03V,Lifestyle | Video | 1,CR_HS1K3AQ6,0.604
Meta,C_GX8WDZRM,AS_RBLRTVWA,AD_KXTUFDJK,How-to | Carousel | 2,CR_WQC38HYF,0.696
Meta,C_GX8WDZRM,AS_RBLRTVWA,AD_DFR21520,UGC | Video | 3,CR_IG8F1CBF,0.621
Meta,C_GX8WDZRM,AS_RBLRTVWA,AD_RN6HW1HS,Offer | Collection | 4,CR_1VRJNVGF,0.487
Meta,C_57TCOZDA,AS_SUHA51LI,AD_ZC1B3EU1,Lifestyle | Carousel | 1,CR_IWEPXSK2,0.515
Meta,C_57TCOZDA,AS_SUHA51LI,AD_Z0SHZBUK,UGC | Video | 2,CR_ESPRVU8F,0.576
Meta,C_57TCOZDA,AS_3XF1GP1Z,AD_KE6H76MW,Testimonial | Collection | 1,CR_YJNE00V8,0.598
Meta,C_57TCOZDA,AS_3XF1GP1Z,AD_WJPGJQML,How-to | Carousel | 2,CR_YY37Q9AH,0.654
Meta,C_57TCOZDA,AS_3XF1GP1Z,AD_JEL532UU,Lifestyle | Image | 3,CR_JAG1OL73,0.646
