campaign_id,platform,impressions,clicks,conversions,spend,revenue
camp 1,generic,4,0,0,0.006,0.0
camp 1,generic,20170,158,23,26.7824,1972.4602
camp 1,generic,14701,158,78,27.6304,2497.2636
camp 1,generic,171259,1796,617,216.875,24625.3234
camp 1,generic,552,1,0,0.067,0.0
camp 1,generic,16,0,0,0.0249,0.0
camp 1,generic,2234,10,3,0.4044,101.7494
camp 1,generic,2963,4,4,1.8899,100.5044
camp 1,generic,580,9,0,0.9917,0.0
camp 1,generic,20152,185,13,11.1678,653.1896
camp 1,generic,56499,309,105,50.5157,4288.6699
camp 1,generic,392142,10237,2513,351.9167,119601.4208
camp 1,generic,62395,678,173,30.2386,10402.0618
camp 1,generic,214074,2120,805,432.5858,39654.6687
camp 1,generic,671,2,0,0.0997,0.0
camp 1,generic,1188,7,2,0.904,145.5734
camp 1,generic,380,1,1,0.1743,211.5323
camp 1,generic,1789,3,0,0.4418,0.0
camp 1,generic,6595,30,3,2.3886,14.6254
camp 1,generic,25765,696,82,22.1996,5851.2447
camp 1,generic,4595,45,5,2.2328,392.7653
camp 1,generic,18518,158,28,16.6353,1735.5801
camp 1,generic,11,0,0,0.0225,0.0
camp 1,generic,52381,286,99,54.8999,4844.9065
camp 1,generic,62042,1164,364,42.1673,20272.775
camp 1,generic,10001,82,27,5.495,1304.4818
camp 1,generic,277579,2042,754,336.111,45839.9536
camp 1,generic,448,2,0,0.1226,0.0
camp 1,generic,112,1,0,0.0661,0.0
camp 1,generic,28,0,0,0.017,0.0
camp 1,generic,3841,15,7,0.7599,1864.6591
camp 1,generic,5932,30,6,3.8013,573.1474
camp 1,generic,2983,82,1,1.8454,29.2134
camp 1,generic,678,4,1,0.3841,14.1537
camp 1,generic,30998,184,12,17.3368,1323.659
camp 1,generic,1182,2,1,0.7543,30.8236
camp 1,generic,467,0,0,0.1835,0.0
camp 1,generic,7,1,0,0.0045,0.0
camp 1,generic,4177,7,0,2.5521,0.0
camp 1,generic,7,1,0,0.0015,0.0
camp 1,generic,36,0,0,0.002,0.0
camp 1,generic,68,0,0,0.0102,0.0
camp 1,generic,14,0,0,0.0055,0.0
camp 1,generic,502,0,0,0.1096,0.0
camp 1,generic,52004,1043,401,132.7561,15561.6075
camp 1,generic,492,6,1,0.1722,45.9209
camp 1,generic,4795,60,8,6.0088,767.8439
camp 1,generic,5270,56,39,8.8886,776.4618
camp 1,generic,20898,165,63,16.8185,2214.2764
camp 1,generic,434,3,0,0.308,0.0
camp 1,generic,20161,176,92,31.6511,3989.2796
camp 1,generic,45,1,0,0.0111,0.0
camp 1,generic,21,0,0,0.0135,0.0
camp 1,generic,3,0,0,0.0015,0.0
camp 1,generic,175,1,0,0.0204,0.0
camp 1,generic,441,7,0,0.3654,0.0
camp 1,generic,1233,9,2,0.9526,183.3429
camp 1,generic,84,0,0,0.058,0.0
camp 1,generic,1978,13,0,1.3976,0.0
camp 1,generic,20,0,0,0.0284,0.0
camp 1,generic,77942,410,121,74.7667,6710.2429
camp 1,generic,221002,3384,1179,292.8014,59726.9939
camp 1,generic,32546,254,93,13.5669,5418.0655
camp 1,generic,428642,2961,1239,424.0715,57545.6564
camp 1,generic,824,4,0,0.1407,0.0
camp 1,generic,366,3,0,0.4347,0.0
camp 1,generic,149,0,0,0.06,0.0
camp 1,generic,5689,10,1,1.099,12.7891
camp 1,generic,1,0,0,0.0015,0.0
camp 1,generic,8165,34,1,3.8733,72.0659
camp 1,generic,10611,179,32,13.1693,1587.3458
camp 1,generic,2741,31,2,1.1191,85.7347
camp 1,generic,50040,309,31,23.4219,2749.2091
camp 1,generic,21,1,0,0.0235,0.0
camp 1,generic,1,0,0,0.0017,0.0
camp 2,generic,6745,21,0,0.5595,0.0
camp 2,generic,99,1,0,0.1207,0.0
camp 2,generic,50107,367,3,5.9831,66.5661
camp 2,generic,7,0,0,0.0085,0.0
camp 2,generic,22075,321,4,5.1608,269.4696
camp 2,generic,2469,58,3,3.7891,236.7731
camp 2,generic,181282,3611,56,45.9527,2923.7718
camp 2,generic,12670,51,0,1.4582,0.0
camp 2,generic,23968,574,10,18.3079,1003.2078
camp 2,generic,3706,48,0,1.6423,0.0
camp 2,generic,39787,209,0,4.5533,0.0
camp 2,generic,64482,886,4,13.582,166.4344
camp 2,generic,214846,10390,146,184.0818,12485.0212
camp 2,generic,28666,755,18,13.0473,916.0838
camp 2,generic,184116,2720,39,61.6561,3724.3667
camp 2,generic,3,1,0,0.0061,0.0
camp 2,generic,8682,44,0,1.497,0.0
camp 2,generic,4354,86,2,2.6398,141.2879
camp 2,generic,128,0,0,0.072,0.0
camp 2,generic,92429,498,1,9.1632,12.9709
camp 2,generic,11,0,0,0.017,0.0
camp 2,generic,35227,401,14,14.1625,839.2774
camp 2,generic,33570,1426,38,20.8269,2771.717
camp 2,generic,2324,19,0,1.318,0.0
camp 2,generic,304259,3328,52,73.5196,6350.6364
camp 2,generic,273,0,0,0.0244,0.0
camp 2,generic,7,0,0,0.0027,0.0
camp 2,generic,587,2,0,0.0259,0.0
camp 2,generic,1324,9,0,0.2195,0.0
camp 2,generic,159,0,0,0.0625,0.0
camp 2,generic,4,0,0,0.0025,0.0
camp 2,generic,3094,5,0,0.2878,0.0
camp 2,generic,12604,245,0,2.4409,0.0
camp 2,generic,46408,1766,18,22.7809,1683.7638
camp 2,generic,552,3,0,0.1107,0.0
camp 2,generic,371,5,0,0.2683,0.0
camp 2,generic,36,0,0,0.0253,0.0
camp 2,generic,4624,24,0,0.2915,0.0
camp 2,generic,3957,40,0,1.6338,0.0
camp 2,generic,6501,102,5,4.9835,359.4609
camp 2,generic,449,13,0,0.3253,0.0
camp 2,generic,19507,252,6,3.8768,253.8565
camp 2,generic,12328,74,1,1.6025,22.7769
camp 2,generic,2999,37,1,3.1095,11.7896
camp 2,generic,1380,13,0,0.5564,0.0
camp 2,generic,108130,666,5,9.4151,523.5354
camp 2,generic,7,0,0,0.0117,0.0
camp 2,generic,59277,722,8,15.2085,930.7221
camp 2,generic,55588,1515,53,63.9296,3942.6278
camp 2,generic,13955,228,10,6.0226,1160.8372
camp 2,generic,390929,5323,63,79.3017,38386.9424
camp 2,generic,28,2,0,0.0112,0.0
camp 3,generic,2366,4,0,0.5795,0.0
camp 3,generic,23,0,0,0.027,0.0
camp 3,generic,22167,50,1,5.018,532.0745
camp 3,generic,7,0,0,0.0093,0.0
camp 3,generic,11834,21,0,0.6988,0.0
camp 3,generic,35,0,0,0.046,0.0
camp 3,generic,41489,167,0,2.2941,0.0
camp 3,generic,5,0,0,0.0064,0.0
camp 3,generic,17057,51,1,1.4853,9.6979
