date,campaign_id,campaign_name,platform,spend,impressions,clicks,conversions,revenue
2025-11-20,campaign_0,Meta Campaign 0,meta,264.56,30553,626,14,1002.17
2025-11-21,campaign_0,Meta Campaign 0,meta,317.77,44077,658,9,309.2
2025-11-22,campaign_0,Meta Campaign 0,meta,295.73,44912,416,9,492.24
2025-11-23,campaign_0,Meta Campaign 0,meta,229.33,27008,351,11,1570.17
2025-11-24,campaign_0,Meta Campaign 0,meta,278.18,33778,288,6,672.08
2025-11-25,campaign_0,Meta Campaign 0,meta,309.23,41740,587,17,1147.11
2025-11-26,campaign_0,Meta Campaign 0,meta,284.71,35384,463,13,2171.99
2025-11-27,campaign_0,Meta Campaign 0,meta,278.81,33933,476,10,479.47
2025-11-28,campaign_0,Meta Campaign 0,meta,306.59,41030,561,18,983.9
2025-11-29,campaign_0,Meta Campaign 0,meta,224.39,25858,328,9,572.86
2025-11-30,campaign_0,Meta Campaign 0,meta,272.28,38071,745,20,1132.64
2025-12-01,campaign_0,Meta Campaign 0,meta,304.75,40539,582,9,679.32
2025-12-02,campaign_0,Meta Campaign 0,meta,269.75,31763,403,12,1649.32
2025-12-03,campaign_0,Meta Campaign 0,meta,262.02,29967,415,11,1210.79
2025-12-04,campaign_0,Meta Campaign 0,meta,307.42,41253,596,13,1920.65
2025-12-05,campaign_0,Meta Campaign 0,meta,252.42,27813,496,14,1451.15
2025-12-06,campaign_0,Meta Campaign 0,meta,203.96,21363,217,6,598.44
2025-12-07,campaign_0,Meta Campaign 0,meta,254.07,33150,488,8,1260.28
2025-12-08,campaign_0,Meta Campaign 0,meta,281.16,34506,551,13,1307.34
2025-12-09,campaign_0,Meta Campaign 0,meta,322.76,45473,728,22,2972.1
2025-12-10,campaign_0,Meta Campaign 0,meta,300.26,39355,605,10,1611.9
2025-12-11,campaign_0,Meta Campaign 0,meta,332.14,48155,1025,14,621.07
2025-12-12,campaign_0,Meta Campaign 0,meta,291.75,37154,465,5,599.73
2025-12-13,campaign_0,Meta Campaign 0,meta,264.26,35863,380,7,999.08
2025-12-14,campaign_0,Meta Campaign 0,meta,266.11,36365,522,17,1810.45
2025-12-15,campaign_0,Meta Campaign 0,meta,280.67,34387,437,9,1275.54
2025-12-16,campaign_0,Meta Campaign 0,meta,280.11,34250,446,14,1582.43
2025-12-17,campaign_0,Meta Campaign 0,meta,270.6,31963,501,12,679.27
2025-12-18,campaign_0,Meta Campaign 0,meta,276.19,33298,262,6,269.78
2025-12-19,campaign_0,Meta Campaign 0,meta,237.1,24538,298,11,1441.83
2025-11-20,campaign_1,Google Campaign 1,google,499.32,101228,1662,61,2496.78
2025-11-21,campaign_1,Google Campaign 1,google,463.65,87281,1478,54,6326.47
2025-11-22,campaign_1,Google Campaign 1,google,441.7,93193,3009,66,2278.52
2025-11-23,campaign_1,Google Campaign 1,google,434.56,90202,3205,105,9058.39
